STATEFP,GEOID,NAME,NAMELSAD,FIPS,RADII,STORMID,BASIN,STORMNUM,STARTDTG,ENDDTG
72,72085,Las Piedras,Las Piedras Municipio,72085,34.0,al112017,AL,11.0,2017083006,2017091200
01,01027,Clay,Clay County,1027,34.0,al112017,AL,11.0,2017083006,2017091200
13,13189,McDuffie,McDuffie County,13189,34.0,al112017,AL,11.0,2017083006,2017091200
37,37037,Chatham,Chatham County,37037,34.0,al112017,AL,11.0,2017083006,2017091200
47,47065,Hamilton,Hamilton County,47065,34.0,al112017,AL,11.0,2017083006,2017091200
01,01091,Marengo,Marengo County,1091,34.0,al112017,AL,11.0,2017083006,2017091200
01,01049,DeKalb,DeKalb County,1049,34.0,al112017,AL,11.0,2017083006,2017091200
13,13025,Brantley,Brantley County,13025,34.0,al112017,AL,11.0,2017083006,2017091200
13,13171,Lamar,Lamar County,13171,34.0,al112017,AL,11.0,2017083006,2017091200
37,37001,Alamance,Alamance County,37001,34.0,al112017,AL,11.0,2017083006,2017091200
47,47115,Marion,Marion County,47115,34.0,al112017,AL,11.0,2017083006,2017091200
12,12053,Hernando,Hernando County,12053,34.0,al112017,AL,11.0,2017083006,2017091200
12,12129,Wakulla,Wakulla County,12129,34.0,al112017,AL,11.0,2017083006,2017091200
12,12131,Walton,Walton County,12131,34.0,al112017,AL,11.0,2017083006,2017091200
12,12127,Volusia,Volusia County,12127,34.0,al112017,AL,11.0,2017083006,2017091200
72,72115,Quebradillas,Quebradillas Municipio,72115,34.0,al112017,AL,11.0,2017083006,2017091200
78,78030,St. Thomas,St. Thomas Island,78030,34.0,al112017,AL,11.0,2017083006,2017091200
13,13115,Floyd,Floyd County,13115,34.0,al112017,AL,11.0,2017083006,2017091200
37,37057,Davidson,Davidson County,37057,34.0,al112017,AL,11.0,2017083006,2017091200
13,13273,Terrell,Terrell County,13273,34.0,al112017,AL,11.0,2017083006,2017091200
13,13063,Clayton,Clayton County,13063,34.0,al112017,AL,11.0,2017083006,2017091200
13,13073,Columbia,Columbia County,13073,34.0,al112017,AL,11.0,2017083006,2017091200
13,13193,Macon,Macon County,13193,34.0,al112017,AL,11.0,2017083006,2017091200
45,45023,Chester,Chester County,45023,34.0,al112017,AL,11.0,2017083006,2017091200
13,13049,Charlton,Charlton County,13049,34.0,al112017,AL,11.0,2017083006,2017091200
13,13233,Polk,Polk County,13233,34.0,al112017,AL,11.0,2017083006,2017091200
13,13089,DeKalb,DeKalb County,13089,34.0,al112017,AL,11.0,2017083006,2017091200
13,13227,Pickens,Pickens County,13227,34.0,al112017,AL,11.0,2017083006,2017091200
47,47123,Monroe,Monroe County,47123,34.0,al112017,AL,11.0,2017083006,2017091200
13,13119,Franklin,Franklin County,13119,34.0,al112017,AL,11.0,2017083006,2017091200
12,12051,Hendry,Hendry County,12051,34.0,al112017,AL,11.0,2017083006,2017091200
13,13265,Taliaferro,Taliaferro County,13265,34.0,al112017,AL,11.0,2017083006,2017091200
72,72105,Naranjito,Naranjito Municipio,72105,34.0,al112017,AL,11.0,2017083006,2017091200
01,01019,Cherokee,Cherokee County,1019,34.0,al112017,AL,11.0,2017083006,2017091200
37,37155,Robeson,Robeson County,37155,34.0,al112017,AL,11.0,2017083006,2017091200
37,37109,Lincoln,Lincoln County,37109,34.0,al112017,AL,11.0,2017083006,2017091200
12,12095,Orange,Orange County,12095,34.0,al112017,AL,11.0,2017083006,2017091200
13,13045,Carroll,Carroll County,13045,34.0,al112017,AL,11.0,2017083006,2017091200
37,37027,Caldwell,Caldwell County,37027,34.0,al112017,AL,11.0,2017083006,2017091200
01,01065,Hale,Hale County,1065,34.0,al112017,AL,11.0,2017083006,2017091200
01,01105,Perry,Perry County,1105,34.0,al112017,AL,11.0,2017083006,2017091200
13,13075,Cook,Cook County,13075,34.0,al112017,AL,11.0,2017083006,2017091200
72,72053,Fajardo,Fajardo Municipio,72053,34.0,al112017,AL,11.0,2017083006,2017091200
72,72151,Yabucoa,Yabucoa Municipio,72151,34.0,al112017,AL,11.0,2017083006,2017091200
37,37063,Durham,Durham County,37063,34.0,al112017,AL,11.0,2017083006,2017091200
51,51089,Henry,Henry County,51089,34.0,al112017,AL,11.0,2017083006,2017091200
72,72067,Hormigueros,Hormigueros Municipio,72067,34.0,al112017,AL,11.0,2017083006,2017091200
12,12011,Broward,Broward County,12011,34.0,al112017,AL,11.0,2017083006,2017091200
13,13279,Toombs,Toombs County,13279,34.0,al112017,AL,11.0,2017083006,2017091200
45,45081,Saluda,Saluda County,45081,34.0,al112017,AL,11.0,2017083006,2017091200
37,37115,Madison,Madison County,37115,34.0,al112017,AL,11.0,2017083006,2017091200
12,12099,Palm Beach,Palm Beach County,12099,34.0,al112017,AL,11.0,2017083006,2017091200
13,13181,Lincoln,Lincoln County,13181,34.0,al112017,AL,11.0,2017083006,2017091200
01,01013,Butler,Butler County,1013,34.0,al112017,AL,11.0,2017083006,2017091200
37,37151,Randolph,Randolph County,37151,34.0,al112017,AL,11.0,2017083006,2017091200
47,47105,Loudon,Loudon County,47105,34.0,al112017,AL,11.0,2017083006,2017091200
12,12041,Gilchrist,Gilchrist County,12041,34.0,al112017,AL,11.0,2017083006,2017091200
12,12086,Miami-Dade,Miami-Dade County,12086,34.0,al112017,AL,11.0,2017083006,2017091200
13,13145,Harris,Harris County,13145,34.0,al112017,AL,11.0,2017083006,2017091200
13,13251,Screven,Screven County,13251,34.0,al112017,AL,11.0,2017083006,2017091200
72,72127,San Juan,San Juan Municipio,72127,34.0,al112017,AL,11.0,2017083006,2017091200
13,13297,Walton,Walton County,13297,34.0,al112017,AL,11.0,2017083006,2017091200
13,13129,Gordon,Gordon County,13129,34.0,al112017,AL,11.0,2017083006,2017091200
12,12055,Highlands,Highlands County,12055,34.0,al112017,AL,11.0,2017083006,2017091200
12,12017,Citrus,Citrus County,12017,34.0,al112017,AL,11.0,2017083006,2017091200
72,72049,Culebra,Culebra Municipio,72049,34.0,al112017,AL,11.0,2017083006,2017091200
72,72051,Dorado,Dorado Municipio,72051,34.0,al112017,AL,11.0,2017083006,2017091200
45,45089,Williamsburg,Williamsburg County,45089,34.0,al112017,AL,11.0,2017083006,2017091200
72,72121,Sabana Grande,Sabana Grande Municipio,72121,34.0,al112017,AL,11.0,2017083006,2017091200
72,72039,Ciales,Ciales Municipio,72039,34.0,al112017,AL,11.0,2017083006,2017091200
13,13147,Hart,Hart County,13147,34.0,al112017,AL,11.0,2017083006,2017091200
01,01081,Lee,Lee County,1081,34.0,al112017,AL,11.0,2017083006,2017091200
13,13293,Upson,Upson County,13293,34.0,al112017,AL,11.0,2017083006,2017091200
13,13013,Barrow,Barrow County,13013,34.0,al112017,AL,11.0,2017083006,2017091200
13,13183,Long,Long County,13183,34.0,al112017,AL,11.0,2017083006,2017091200
72,72133,Santa Isabel,Santa Isabel Municipio,72133,34.0,al112017,AL,11.0,2017083006,2017091200
72,72139,Trujillo Alto,Trujillo Alto Municipio,72139,34.0,al112017,AL,11.0,2017083006,2017091200
01,01017,Chambers,Chambers County,1017,34.0,al112017,AL,11.0,2017083006,2017091200
72,72073,Jayuya,Jayuya Municipio,72073,34.0,al112017,AL,11.0,2017083006,2017091200
37,37159,Rowan,Rowan County,37159,34.0,al112017,AL,11.0,2017083006,2017091200
72,72097,Mayagüez,Mayagüez Municipio,72097,34.0,al112017,AL,11.0,2017083006,2017091200
72,72029,Canóvanas,Canóvanas Municipio,72029,34.0,al112017,AL,11.0,2017083006,2017091200
13,13223,Paulding,Paulding County,13223,34.0,al112017,AL,11.0,2017083006,2017091200
72,72123,Salinas,Salinas Municipio,72123,34.0,al112017,AL,11.0,2017083006,2017091200
13,13079,Crawford,Crawford County,13079,34.0,al112017,AL,11.0,2017083006,2017091200
72,72103,Naguabo,Naguabo Municipio,72103,34.0,al112017,AL,11.0,2017083006,2017091200
37,37051,Cumberland,Cumberland County,37051,34.0,al112017,AL,11.0,2017083006,2017091200
37,37153,Richmond,Richmond County,37153,34.0,al112017,AL,11.0,2017083006,2017091200
37,37093,Hoke,Hoke County,37093,34.0,al112017,AL,11.0,2017083006,2017091200
45,45035,Dorchester,Dorchester County,45035,34.0,al112017,AL,11.0,2017083006,2017091200
45,45015,Berkeley,Berkeley County,45015,34.0,al112017,AL,11.0,2017083006,2017091200
37,37025,Cabarrus,Cabarrus County,37025,34.0,al112017,AL,11.0,2017083006,2017091200
12,12093,Okeechobee,Okeechobee County,12093,34.0,al112017,AL,11.0,2017083006,2017091200
13,13291,Union,Union County,13291,34.0,al112017,AL,11.0,2017083006,2017091200
01,01125,Tuscaloosa,Tuscaloosa County,1125,34.0,al112017,AL,11.0,2017083006,2017091200
01,01131,Wilcox,Wilcox County,1131,34.0,al112017,AL,11.0,2017083006,2017091200
47,47089,Jefferson,Jefferson County,47089,34.0,al112017,AL,11.0,2017083006,2017091200
12,12109,St. Johns,St. Johns County,12109,34.0,al112017,AL,11.0,2017083006,2017091200
45,45047,Greenwood,Greenwood County,45047,34.0,al112017,AL,11.0,2017083006,2017091200
13,13137,Habersham,Habersham County,13137,34.0,al112017,AL,11.0,2017083006,2017091200
13,13319,Wilkinson,Wilkinson County,13319,34.0,al112017,AL,11.0,2017083006,2017091200
12,12027,DeSoto,DeSoto County,12027,34.0,al112017,AL,11.0,2017083006,2017091200
37,37169,Stokes,Stokes County,37169,34.0,al112017,AL,11.0,2017083006,2017091200
12,12043,Glades,Glades County,12043,34.0,al112017,AL,11.0,2017083006,2017091200
13,13199,Meriwether,Meriwether County,13199,34.0,al112017,AL,11.0,2017083006,2017091200
13,13053,Chattahoochee,Chattahoochee County,13053,34.0,al112017,AL,11.0,2017083006,2017091200
45,45069,Marlboro,Marlboro County,45069,34.0,al112017,AL,11.0,2017083006,2017091200
45,45009,Bamberg,Bamberg County,45009,34.0,al112017,AL,11.0,2017083006,2017091200
13,13019,Berrien,Berrien County,13019,34.0,al112017,AL,11.0,2017083006,2017091200
37,37005,Alleghany,Alleghany County,37005,34.0,al112017,AL,11.0,2017083006,2017091200
12,12081,Manatee,Manatee County,12081,34.0,al112017,AL,11.0,2017083006,2017091200
12,12013,Calhoun,Calhoun County,12013,34.0,al112017,AL,11.0,2017083006,2017091200
13,13113,Fayette,Fayette County,13113,34.0,al112017,AL,11.0,2017083006,2017091200
13,13141,Hancock,Hancock County,13141,34.0,al112017,AL,11.0,2017083006,2017091200
13,13277,Tift,Tift County,13277,34.0,al112017,AL,11.0,2017083006,2017091200
01,01095,Marshall,Marshall County,1095,34.0,al112017,AL,11.0,2017083006,2017091200
47,47009,Blount,Blount County,47009,34.0,al112017,AL,11.0,2017083006,2017091200
45,45031,Darlington,Darlington County,45031,34.0,al112017,AL,11.0,2017083006,2017091200
01,01053,Escambia,Escambia County,1053,34.0,al112017,AL,11.0,2017083006,2017091200
13,13143,Haralson,Haralson County,13143,34.0,al112017,AL,11.0,2017083006,2017091200
37,37193,Wilkes,Wilkes County,37193,34.0,al112017,AL,11.0,2017083006,2017091200
51,51141,Patrick,Patrick County,51141,34.0,al112017,AL,11.0,2017083006,2017091200
37,37003,Alexander,Alexander County,37003,34.0,al112017,AL,11.0,2017083006,2017091200
01,01009,Blount,Blount County,1009,34.0,al112017,AL,11.0,2017083006,2017091200
13,13061,Clay,Clay County,13061,34.0,al112017,AL,11.0,2017083006,2017091200
13,13015,Bartow,Bartow County,13015,34.0,al112017,AL,11.0,2017083006,2017091200
12,12069,Lake,Lake County,12069,34.0,al112017,AL,11.0,2017083006,2017091200
72,72003,Aguada,Aguada Municipio,72003,34.0,al112017,AL,11.0,2017083006,2017091200
01,01099,Monroe,Monroe County,1099,34.0,al112017,AL,11.0,2017083006,2017091200
13,13139,Hall,Hall County,13139,34.0,al112017,AL,11.0,2017083006,2017091200
13,13283,Treutlen,Treutlen County,13283,34.0,al112017,AL,11.0,2017083006,2017091200
13,13037,Calhoun,Calhoun County,13037,34.0,al112017,AL,11.0,2017083006,2017091200
72,72043,Coamo,Coamo Municipio,72043,34.0,al112017,AL,11.0,2017083006,2017091200
72,72055,Guánica,Guánica Municipio,72055,34.0,al112017,AL,11.0,2017083006,2017091200
13,13099,Early,Early County,13099,34.0,al112017,AL,11.0,2017083006,2017091200
37,37163,Sampson,Sampson County,37163,34.0,al112017,AL,11.0,2017083006,2017091200
12,12103,Pinellas,Pinellas County,12103,34.0,al112017,AL,11.0,2017083006,2017091200
72,72019,Barranquitas,Barranquitas Municipio,72019,34.0,al112017,AL,11.0,2017083006,2017091200
37,37189,Watauga,Watauga County,37189,34.0,al112017,AL,11.0,2017083006,2017091200
01,01085,Lowndes,Lowndes County,1085,34.0,al112017,AL,11.0,2017083006,2017091200
13,13043,Candler,Candler County,13043,34.0,al112017,AL,11.0,2017083006,2017091200
13,13215,Muscogee,Muscogee County,13215,34.0,al112017,AL,11.0,2017083006,2017091200
72,72081,Lares,Lares Municipio,72081,34.0,al112017,AL,11.0,2017083006,2017091200
45,45003,Aiken,Aiken County,45003,34.0,al112017,AL,11.0,2017083006,2017091200
72,72153,Yauco,Yauco Municipio,72153,34.0,al112017,AL,11.0,2017083006,2017091200
72,72001,Adjuntas,Adjuntas Municipio,72001,34.0,al112017,AL,11.0,2017083006,2017091200
47,47163,Sullivan,Sullivan County,47163,34.0,al112017,AL,11.0,2017083006,2017091200
45,45059,Laurens,Laurens County,45059,34.0,al112017,AL,11.0,2017083006,2017091200
01,01037,Coosa,Coosa County,1037,34.0,al112017,AL,11.0,2017083006,2017091200
47,47019,Carter,Carter County,47019,34.0,al112017,AL,11.0,2017083006,2017091200
47,47179,Washington,Washington County,47179,34.0,al112017,AL,11.0,2017083006,2017091200
45,45071,Newberry,Newberry County,45071,34.0,al112017,AL,11.0,2017083006,2017091200
12,12037,Franklin,Franklin County,12037,34.0,al112017,AL,11.0,2017083006,2017091200
37,37173,Swain,Swain County,37173,34.0,al112017,AL,11.0,2017083006,2017091200
12,12101,Pasco,Pasco County,12101,34.0,al112017,AL,11.0,2017083006,2017091200
12,12119,Sumter,Sumter County,12119,34.0,al112017,AL,11.0,2017083006,2017091200
37,37011,Avery,Avery County,37011,34.0,al112017,AL,11.0,2017083006,2017091200
45,45063,Lexington,Lexington County,45063,34.0,al112017,AL,11.0,2017083006,2017091200
01,01109,Pike,Pike County,1109,34.0,al112017,AL,11.0,2017083006,2017091200
37,37045,Cleveland,Cleveland County,37045,34.0,al112017,AL,11.0,2017083006,2017091200
13,13081,Crisp,Crisp County,13081,34.0,al112017,AL,11.0,2017083006,2017091200
37,37125,Moore,Moore County,37125,34.0,al112017,AL,11.0,2017083006,2017091200
12,12117,Seminole,Seminole County,12117,34.0,al112017,AL,11.0,2017083006,2017091200
01,01121,Talladega,Talladega County,1121,34.0,al112017,AL,11.0,2017083006,2017091200
37,37067,Forsyth,Forsyth County,37067,34.0,al112017,AL,11.0,2017083006,2017091200
13,13261,Sumter,Sumter County,13261,34.0,al112017,AL,11.0,2017083006,2017091200
45,45007,Anderson,Anderson County,45007,34.0,al112017,AL,11.0,2017083006,2017091200
72,72093,Maricao,Maricao Municipio,72093,34.0,al112017,AL,11.0,2017083006,2017091200
72,72005,Aguadilla,Aguadilla Municipio,72005,34.0,al112017,AL,11.0,2017083006,2017091200
13,13059,Clarke,Clarke County,13059,34.0,al112017,AL,11.0,2017083006,2017091200
13,13077,Coweta,Coweta County,13077,34.0,al112017,AL,11.0,2017083006,2017091200
13,13023,Bleckley,Bleckley County,13023,34.0,al112017,AL,11.0,2017083006,2017091200
13,13033,Burke,Burke County,13033,34.0,al112017,AL,11.0,2017083006,2017091200
72,72009,Aibonito,Aibonito Municipio,72009,34.0,al112017,AL,11.0,2017083006,2017091200
13,13197,Marion,Marion County,13197,34.0,al112017,AL,11.0,2017083006,2017091200
13,13159,Jasper,Jasper County,13159,34.0,al112017,AL,11.0,2017083006,2017091200
45,45013,Beaufort,Beaufort County,45013,34.0,al112017,AL,11.0,2017083006,2017091200
45,45077,Pickens,Pickens County,45077,34.0,al112017,AL,11.0,2017083006,2017091200
12,12007,Bradford,Bradford County,12007,34.0,al112017,AL,11.0,2017083006,2017091200
72,72111,Peñuelas,Peñuelas Municipio,72111,34.0,al112017,AL,11.0,2017083006,2017091200
72,72113,Ponce,Ponce Municipio,72113,34.0,al112017,AL,11.0,2017083006,2017091200
01,01071,Jackson,Jackson County,1071,34.0,al112017,AL,11.0,2017083006,2017091200
13,13151,Henry,Henry County,13151,34.0,al112017,AL,11.0,2017083006,2017091200
47,47107,McMinn,McMinn County,47107,34.0,al112017,AL,11.0,2017083006,2017091200
13,13003,Atkinson,Atkinson County,13003,34.0,al112017,AL,11.0,2017083006,2017091200
12,12031,Duval,Duval County,12031,34.0,al112017,AL,11.0,2017083006,2017091200
37,37033,Caswell,Caswell County,37033,34.0,al112017,AL,11.0,2017083006,2017091200
72,72021,Bayamón,Bayamón Municipio,72021,34.0,al112017,AL,11.0,2017083006,2017091200
78,78010,St. Croix,St. Croix Island,78010,34.0,al112017,AL,11.0,2017083006,2017091200
13,13263,Talbot,Talbot County,13263,34.0,al112017,AL,11.0,2017083006,2017091200
51,51077,Grayson,Grayson County,51077,34.0,al112017,AL,11.0,2017083006,2017091200
12,12085,Martin,Martin County,12085,34.0,al112017,AL,11.0,2017083006,2017091200
13,13085,Dawson,Dawson County,13085,34.0,al112017,AL,11.0,2017083006,2017091200
13,13167,Johnson,Johnson County,13167,34.0,al112017,AL,11.0,2017083006,2017091200
12,12029,Dixie,Dixie County,12029,34.0,al112017,AL,11.0,2017083006,2017091200
72,72117,Rincón,Rincón Municipio,72117,34.0,al112017,AL,11.0,2017083006,2017091200
37,37075,Graham,Graham County,37075,34.0,al112017,AL,11.0,2017083006,2017091200
13,13303,Washington,Washington County,13303,34.0,al112017,AL,11.0,2017083006,2017091200
01,01011,Bullock,Bullock County,1011,34.0,al112017,AL,11.0,2017083006,2017091200
72,72145,Vega Baja,Vega Baja Municipio,72145,34.0,al112017,AL,11.0,2017083006,2017091200
01,01001,Autauga,Autauga County,1001,34.0,al112017,AL,11.0,2017083006,2017091200
13,13091,Dodge,Dodge County,13091,34.0,al112017,AL,11.0,2017083006,2017091200
13,13039,Camden,Camden County,13039,34.0,al112017,AL,11.0,2017083006,2017091200
13,13225,Peach,Peach County,13225,34.0,al112017,AL,11.0,2017083006,2017091200
13,13311,White,White County,13311,34.0,al112017,AL,11.0,2017083006,2017091200
13,13163,Jefferson,Jefferson County,13163,34.0,al112017,AL,11.0,2017083006,2017091200
12,12033,Escambia,Escambia County,12033,34.0,al112017,AL,11.0,2017083006,2017091200
13,13289,Twiggs,Twiggs County,13289,34.0,al112017,AL,11.0,2017083006,2017091200
01,01087,Macon,Macon County,1087,34.0,al112017,AL,11.0,2017083006,2017091200
45,45055,Kershaw,Kershaw County,45055,34.0,al112017,AL,11.0,2017083006,2017091200
01,01115,St. Clair,St. Clair County,1115,34.0,al112017,AL,11.0,2017083006,2017091200
13,13095,Dougherty,Dougherty County,13095,34.0,al112017,AL,11.0,2017083006,2017091200
13,13047,Catoosa,Catoosa County,13047,34.0,al112017,AL,11.0,2017083006,2017091200
12,12087,Monroe,Monroe County,12087,34.0,al112017,AL,11.0,2017083006,2017091200
72,72023,Cabo Rojo,Cabo Rojo Municipio,72023,34.0,al112017,AL,11.0,2017083006,2017091200
72,72069,Humacao,Humacao Municipio,72069,34.0,al112017,AL,11.0,2017083006,2017091200
72,72077,Juncos,Juncos Municipio,72077,34.0,al112017,AL,11.0,2017083006,2017091200
45,45045,Greenville,Greenville County,45045,34.0,al112017,AL,11.0,2017083006,2017091200
72,72037,Ceiba,Ceiba Municipio,72037,34.0,al112017,AL,11.0,2017083006,2017091200
72,72047,Corozal,Corozal Municipio,72047,34.0,al112017,AL,11.0,2017083006,2017091200
37,37161,Rutherford,Rutherford County,37161,34.0,al112017,AL,11.0,2017083006,2017091200
13,13097,Douglas,Douglas County,13097,34.0,al112017,AL,11.0,2017083006,2017091200
